genre,avgRating,avgRuntime,efficiency
News,7.8,87.0,0.0897
Film-Noir,7.576056338028167,97.64788732394366,0.0776
Animation,6.903264604811002,94.5721649484536,0.073
Documentary,7.402545454545454,103.46545454545455,0.0715
Comedy,6.431917310313489,104.61880963198546,0.0615
Music,6.80384615384616,111.3076923076923,0.0611
Horror,5.969437500000006,98.685625,0.0605
Family,6.310181818181816,104.53272727272727,0.0604
Western,7.089062499999999,117.5703125,0.0603
Mystery,6.374477289113199,106.78370583994233,0.0597
Crime,6.660562280359252,112.13002733307302,0.0594
Romance,6.609807692307687,111.53509615384615,0.0593
Drama,6.834221340512945,115.46110245146663,0.0592
Adventure,6.465525672371644,110.09290953545232,0.0587
Sport,6.736293436293437,114.75289575289575,0.0587
Thriller,6.378456277479236,108.73229115779189,0.0587
War,7.197517730496449,123.7482269503546,0.0582
Fantasy,6.28766816143498,108.04035874439462,0.0582
Biography,7.0906896551724214,122.05632183908045,0.0581
Sci-Fi,6.20095808383233,106.82634730538922,0.058
History,7.1041214750542405,128.7114967462039,0.0552
Action,6.335367865390962,115.2708677004289,0.055
Musical,6.888165680473373,130.63905325443787,0.0527
