startYear,primaryTitle,averageRating
2024,Come pesci nell'acqua,9.8
2023,La Lucha: Getting Schooled in America,9.9
2022,My boyfriends daddy is my man,10.0
2021,The Son,9.8
2020,Blind Surfer with Pete Gustin,9.9
