primaryTitle,startYear,genres
Find Me Falling,2024,"Comedy,Music,Romance"
Land of Bad,2024,"Action,Thriller"
La Cocina,2024,"Drama,Romance"
American Star,2024,"Drama,Mystery,Thriller"
Canary Black,2024,"Action,Drama,Thriller"
Race for Glory: Audi vs. Lancia,2024,"Biography,Drama,Sport"
Sting,2024,"Comedy,Horror,Sci-Fi"
Lonely Planet,2024,"Drama,Romance"
Alienoid: The Return to the Future,2024,"Action,Fantasy,Sci-Fi"
Greedy People,2024,"Comedy,Crime,Thriller"
The Shrouds,2024,"Drama,Horror,Sci-Fi"
Conclave,2024,"Drama,Thriller"
Emilia Pérez,2024,"Crime,Drama,Musical"
Woody Woodpecker Goes to Camp,2024,"Adventure,Animation,Comedy"
Emmanuelle,2024,"Drama,Romance"
Elton John: Never Too Late,2024,"Biography,Documentary,Music"
Funny Birds,2024,"Comedy,Drama"
The Editorial Office,2024,Drama
Beetlejuice Beetlejuice,2024,"Comedy,Fantasy,Horror"
Meet Me Next Christmas,2024,"Comedy,Romance"
A Family Affair,2024,"Comedy,Drama,Romance"
A Different Man,2024,"Drama,Thriller"
Handling the Undead,2024,"Drama,Horror,Mystery"
Lisa Frankenstein,2024,"Comedy,Horror,Romance"
Bagman,2024,Horror
It's a Good Day to Die,2024,Thriller
Ghostbusters: Frozen Empire,2024,"Adventure,Comedy,Fantasy"
Back to Black,2024,"Biography,Drama,Music"
Marmalade,2024,"Comedy,Crime,Drama"
Babes,2024,Comedy
Scoop,2024,"Biography,Drama"
Incoming,2024,Comedy
Carry-On,2024,"Action,Crime,Thriller"
Space Cadet,2024,Comedy
The Gardener's Year,2024,"Comedy,Drama"
The Clean Up Crew,2024,"Action,Comedy,Crime"
Kung Fu Panda 4,2024,"Action,Adventure,Animation"
Little Death,2024,"Comedy,Drama"
Dad's Lullaby,2024,"Documentary,Drama"
A Real Pain,2024,"Comedy,Drama"
Upgraded,2024,"Comedy,Romance"
Young Werther,2024,"Comedy,Romance"
Freaky Tales,2024,"Action,Adventure,Comedy"
Irish Wish,2024,"Comedy,Fantasy,Romance"
The Wasp,2024,Thriller
Snack Shack,2024,"Comedy,Drama"
Inside Out 2,2024,"Adventure,Animation,Comedy"
MaXXXine,2024,"Crime,Horror"
The Strangers: Chapter 1,2024,Horror
Azrael,2024,"Action,Horror"
Stormskerry Maja,2024,Drama
Sweet Dreams,2024,"Comedy,Drama,Sport"
Kinds of Kindness,2024,"Comedy,Drama,Horror"
William Tell,2024,"Action,Biography,Drama"
The Hunted,2024,"Horror,Thriller"
F*** Marry Kill,2024,"Comedy,Mystery,Romance"
Blackwater Lane,2024,"Crime,Drama,Horror"
The Sand Castle,2024,"Drama,Fantasy,Mystery"
Tom Papa: Home Free,2024,"Comedy,Documentary"
Two Sisters,2024,"Drama,War"
The Silent Hour,2024,"Action,Crime,Thriller"
Maria,2024,"Biography,Drama,Music"
Arcadian,2024,"Action,Drama,Horror"
The Price of Money: A Largo Winch Adventure,2024,"Action,Adventure,Drama"
Nickel Boys,2024,Drama
Saving Bikini Bottom: The Sandy Cheeks Movie,2024,"Adventure,Animation,Comedy"
Immaculate,2024,"Horror,Thriller"
Rebel Moon - Part Two: The Scargiver,2024,"Action,Adventure,Drama"
Latency,2024,"Action,Horror,Sci-Fi"
Eden,2024,"Adventure,Drama,History"
Sew Torn,2024,"Comedy,Thriller"
A True Gentleman,2024,"Drama,Romance"
French Girl,2024,"Comedy,Romance"
Into the Wonderwoods,2024,"Adventure,Animation,Comedy"
Longlegs,2024,"Crime,Horror,Mystery"
Touch,2024,"Drama,Romance"
Bookworm,2024,"Adventure,Comedy,Drama"
The Best Christmas Pageant Ever,2024,"Adventure,Comedy,Drama"
Elevation,2024,"Action,Horror,Mystery"
Unsung Hero,2024,"Biography,Drama,Family"
Head South,2024,"Comedy,Drama,Music"
Memoir of a Snail,2024,"Animation,Drama"
Thelma,2024,"Action,Comedy"
Nr. 24,2024,"Biography,Drama,War"
Parthenope,2024,"Drama,Fantasy"
Dear Santa,2024,"Comedy,Fantasy"
The Instigators,2024,"Action,Comedy,Crime"
Queer,2024,"Biography,Drama,History"
The Six Triple Eight,2024,"Drama,History,War"
SuperClaus,2024,"Animation,Comedy,Family"
Don't Move,2024,"Horror,Thriller"
Johnny Puff: Secret Mission,2024,Animation
Subservience,2024,"Sci-Fi,Thriller"
Bonhoeffer: Pastor. Spy. Assassin.,2024,"Biography,Drama,History"
Sketch,2024,"Adventure,Comedy,Family"
The Count of Monte-Cristo,2024,"Action,Adventure,Drama"
Oddity,2024,"Horror,Thriller"
Buffalo Kids,2024,"Adventure,Animation,Comedy"
Beautiful Wedding,2024,"Comedy,Romance"
Maharaja,2024,"Action,Crime,Drama"
The Order,2024,"Crime,Drama,Thriller"
Loveable,2024,"Drama,Romance"
Boléro,2024,"Biography,Drama,Music"
Imaginary,2024,"Horror,Mystery,Thriller"
My Name Is Loh Kiwan,2024,"Drama,Romance"
Daniela Forever,2024,"Drama,Romance,Sci-Fi"
The Penguin Lessons,2024,Drama
The Watchers,2024,"Fantasy,Horror,Mystery"
The Daughter,2024,"Drama,Thriller,War"
Sunrise,2024,"Horror,Thriller"
Monsieur Aznavour,2024,"Biography,Drama,Music"
Another End,2024,"Drama,Romance,Sci-Fi"
The Wailing,2024,"Drama,Horror"
Trap,2024,"Crime,Horror,Mystery"
Hellboy: The Crooked Man,2024,"Action,Adventure,Fantasy"
Bone Lake,2024,"Horror,Thriller"
My Fault,2024,"Crime,Drama,Thriller"
Mother of the Bride,2024,"Comedy,Drama,Romance"
Jackpot!,2024,"Action,Comedy"
